Fecha,Evento,Categoria,Impacto_Descripcion,Streams_Incremento_Porcentaje
"Julio 2010","Formación en The X Factor UK","Origen","Simon Cowell une a 5 solistas en grupo",0
"Noviembre 2011","Lanzamiento Up All Night","Discografia","Debut #1 en UK y EE.UU.",100
"Febrero 2012","Gira What Makes You Beautiful","Giras","Tour sold-out en 3 minutos",45
"Noviembre 2012","Take Me Home - álbum #1 global","Discografia","7.8M copias vendidas primer año",80
"Julio 2013","Documental This Is Us","Multimedia","$68M recaudados en taquilla mundial",35
"Noviembre 2013","Midnight Memories - récord de ventas","Discografia","Álbum más vendido de 2013 globalmente",65
"2014","Where We Are Tour - 3.4M asistentes","Giras","Gira más taquillera de un grupo en 2014",70
"Noviembre 2014","Four - #1 en 19 países","Discografia","Primer grupo en tener 4 álbumes #1 en EE.UU.",55
"Marzo 2015","Zayn Malik abandona el grupo","Cambio","Crisis viral - trending #1 mundial",120
"Noviembre 2015","Made in the A.M. como cuarteto","Discografia","Último álbum antes de la pausa",40
"Marzo 2016","Pausa oficial del grupo","Pausa","Comunicado en redes - millones de reacciones",-60
"Octubre 2024","Muerte de Liam Payne","Legado","Pico histórico de streams en tributo",280
